  658       -1.58
    0.122  357.1    0.060  334.5    0.035  356.0
  702      -22.68
    1.612   12.3    0.691   20.2    0.468   42.8
    0.494   65.6    0.218   72.2    0.149   95.1
    0.294  347.3    0.115  357.9    0.081   22.0
    0.120  357.4    0.059  335.2    0.035  356.0
  703      -20.76
    1.596   12.1    0.681   20.7    0.474   43.7
    0.489   65.5    0.215   72.8    0.151   95.9
    0.292  347.2    0.113  358.5    0.082   22.8
    0.119  357.5    0.058  335.8    0.035  356.0
  704      -18.73
    1.581   11.9    0.671   21.3    0.480   44.6
    0.483   65.3    0.213   73.3    0.153   96.8
    0.289  347.0    0.112  359.1    0.084   23.6
    0.117  357.6    0.057  336.4    0.035  356.0
  705      -16.57
    1.565   11.7    0.658   21.4    0.484   45.5
    0.478   65.1    0.209   73.3    0.154   97.6
    0.286  346.8    0.110  359.3    0.084   24.5
    0.116  357.6    0.056  336.7    0.034  356.0
  706      -18.45
    1.545   11.6    0.635   21.6    0.497   46.6
    0.472   64.9    0.202   73.5    0.158   98.5
    0.283  346.5    0.106  359.4    0.087   25.6
    0.114  358.0    0.054  337.4    0.035  355.6
  707      -20.65
    1.524   11.4    0.611   21.9    0.512   47.8
    0.465   64.7    0.194   73.6    0.163   99.3
    0.279  346.3    0.102  359.6    0.090   26.8
    0.113  358.4    0.052  338.1    0.035  355.3
  708      -23.53
    1.505   11.1    0.581   22.4    0.537   49.4
    0.459   64.4    0.185   74.1    0.172  100.7
    0.276  346.0    0.097    0.1    0.094   28.3
    0.111  358.6    0.050  339.0    0.035  355.5
  709      -22.37
    1.485   10.9    0.572   23.7    0.554   50.0
    0.452   64.2    0.183   75.2    0.177  101.1
    0.272  345.6    0.096    1.4    0.097   28.7
    0.109  358.9    0.048  340.0    0.035  354.9
  710      -19.94
    1.464   10.6    0.569   25.2    0.568   50.3
    0.445   63.9    0.182   76.6    0.181  101.2
    0.268  345.3    0.096    3.0    0.100   28.9
    0.107  359.2    0.047  341.1    0.035  354.0
  711      -20.06
    1.434   10.3    0.558   26.8    0.582   50.9
    0.435   63.6    0.179   78.1    0.186  101.6
    0.263  344.9    0.094    4.7    0.102   29.3
    0.105  359.8    0.046  342.6    0.035  354.0
  712      -18.46
    1.407    9.9    0.557   29.1    0.596   51.2
    0.426   63.1    0.179   80.4    0.190  101.7
    0.258  344.5    0.094    7.0    0.105   29.5
    0.104    0.2    0.045  344.2    0.035  354.3
  713      -18.28
    1.381    9.5    0.556   31.5    0.602   51.5
    0.417   62.7    0.179   82.8    0.192  102.0
    0.254  344.1    0.094    9.4    0.106   29.8
    0.102    0.3    0.044  346.3    0.034  354.9
  714      -13.20
    1.403    8.7    0.576   31.0    0.610   49.7
    0.426   61.8    0.185   82.2    0.195  100.1
    0.258  343.5    0.097    8.8    0.106   28.0
    0.103  358.1    0.045  343.0    0.036  350.0
  715      -19.55
    1.422    8.1    0.558   29.8    0.605   49.6
    0.433   61.2    0.179   80.9    0.194  100.0
    0.262  343.0    0.094    7.6    0.106   28.0
    0.103  356.3    0.043  341.3    0.036  348.0
  716      -24.96
    1.438    7.6    0.543   28.7    0.600   49.6
    0.438   60.7    0.175   79.8    0.193  100.0
    0.265  342.6    0.092    6.5    0.105   27.9
    0.103  354.8    0.042  339.8    0.037  346.4
  717      -29.12
    1.452    7.2    0.531   27.7    0.598   49.6
    0.443   60.3    0.171   78.8    0.193  100.0
    0.268  342.3    0.090    5.5    0.105   27.9
    0.104  353.4    0.041  338.4    0.037  344.9
  718      -29.16
    1.460    6.6    0.525   26.9    0.604   49.5
    0.446   59.7    0.169   78.0    0.195   99.8
    0.269  341.8    0.089    4.6    0.106   27.7
    0.103  352.3    0.041  337.2    0.039  343.2
  719      -29.21
    1.468    6.1    0.518   26.1    0.611   49.4
    0.449   59.1    0.167   77.2    0.198   99.7
    0.271  341.3    0.087    3.7    0.107   27.5
    0.103  351.2    0.040  335.9    0.040  341.5
  720      -29.26
    1.477    5.6    0.512   25.3    0.618   49.3
    0.452   58.5    0.165   76.3    0.201   99.6
    0.272  340.9    0.086    2.8    0.108   27.3
    0.103  350.0    0.040  334.6    0.041  339.9
  721      -29.13
    1.487    5.1    0.509   24.8    0.626   49.0
    0.455   58.0    0.165   75.8    0.204   99.2
    0.274  340.4    0.086    2.3    0.109   27.0
    0.103  348.7    0.039  333.0    0.042  338.2
  722      -28.82
    1.500    4.6    0.510   24.5    0.631   48.4
    0.460   57.5    0.165   75.5    0.206   98.6
    0.277  340.1    0.086    2.1    0.110   26.4
    0.103  347.3    0.039  331.3    0.044  336.4
  723      -28.46
    1.515    4.1    0.511   24.2    0.637   47.8
    0.466   57.0    0.165   75.2    0.208   98.0
    0.280  339.7    0.086    1.9    0.111   25.9
    0.103  345.9    0.039  329.5    0.045  334.7
  724      -28.09
    1.529    3.6    0.511   23.9    0.643   47.2
    0.471   56.5    0.165   74.9    0.211   97.3
    0.282  339.4    0.086    1.7    0.112   25.3
    0.104  344.4    0.039  327.7    0.047  333.2
  725      -28.80
    1.541    3.1    0.513   23.7    0.650   46.2
    0.475   56.0    0.166   74.6    0.213   96.3
    0.285  338.9    0.086    1.4    0.113   24.3
    0.104  343.0    0.040  326.1    0.049  331.3
  726      -29.89
    1.551    2.5    0.516   23.5    0.656   45.0
    0.479   55.4    0.167   74.4    0.216   95.2
    0.287  338.4    0.087    1.1    0.114   23.1
    0.103  341.5    0.040  324.4    0.050  329.5
  727      -30.94
    1.562    2.0    0.518   23.3    0.663   43.9
    0.483   54.8    0.168   74.1    0.218   94.1
    0.289  337.9    0.088    0.8    0.115   22.0
    0.103  340.1    0.041  322.8    0.052  327.8
  728      -31.41
    1.575    1.4    0.519   22.7    0.667   43.0
    0.488   54.2    0.169   73.6    0.220   93.3
    0.291  337.4    0.088    0.1    0.116   21.0
    0.103  338.4    0.041  321.3    0.054  326.3
  729      -31.22
    1.588    1.0    0.530   22.9    0.673   41.5
    0.492   53.7    0.173   73.7    0.222   91.8
    0.294  337.0    0.090    0.4    0.116   19.6
    0.103  337.0    0.043  319.7    0.055  324.4
