     Time        WW       Cap      Tair      Patm      Hrel      Nebu    Pr?ip.     Evap.
      sec       m/s         ?        ?C      mbar         %      octa m3/s/m2*e-m3/s/m2*e-8
   2678400         2       250     15.2    1010.1         87         3 0.000E+00     3.18
   2689200         4       340     14.9       1009        88         0 0.000E+00     3.52
   2700000         5       320     15.1    1008.2         88         3 0.000E+00     3.85
   2710800        12       340     18.5    1009.4         61         1 0.000E+00     4.18
   2721600        14       340     18.3    1009.2         48         1 0.000E+00     4.51
   2732400        15       330     16.8    1008.2         53         2 0.000E+00     4.33
   2743200        18       330     13.1    1008.3         53         2 0.000E+00     4.14
   2754000        15       330     11.4    1009.9         56         1 0.000E+00     3.95
   2764800        11       350      9.9    1011.4         60         1 0.000E+00     3.76
   2775600        15       350      8.9    1010.7         58         1 0.000E+00     3.57
   2786400         6       350         7   1012.7         60         3 0.000E+00     3.39
   2797200         5       350     10.6    1015.1         50         0 0.000E+00      3.2
   2808000         3       340        14   1015.2         42         2 0.000E+00     3.01
   2818800         6       340     15.1    1015.5         42         1 0.000E+00     2.91
   2829600      5.5        360     10.6    1017.4         45         0 0.000E+00     2.81
   2840400      2.3         10      6.1    1019.2         62         1 0.000E+00     2.71
   2851200      3.8        360      6.4    1020.1         60         5 0.000E+00      2.6
   2862000         2        50      5.2    1019.9         73         7 0.000E+00      2.5
   2872800      5.2         10      4.4       1020        77         5 0.000E+00      2.4
   2883600      3.5        360      9.7    1020.8         53         3 0.000E+00      2.3
   2894400      4.7        330     13.7    1019.7         42         4 0.000E+00      2.2
   2905200         4       320        14   1018.4         37         1 0.000E+00     2.14
   2916000      2.2        320      7.7       1019        54         1 0.000E+00     2.08
   2926800      2.6        150      5.1    1020.1         66         0 0.000E+00     2.03
   2937600      1.3        150      5.1    1021.1         78         0 0.000E+00     1.97
   2948400      6.9         80     10.4    1021.9         57         0 0.000E+00     1.91
   2959200      2.7        120     10.9    1023.5         65         7 0.000E+00     1.85
   2970000      2.5        110        12   1025.6         62         7 0.000E+00     1.79
   2980800      1.5         90     15.6    1025.6         55         6 0.000E+00     1.74
   2991600      1.8        210     16.4    1025.2         47         3 0.000E+00     1.75
   3002400      0.6        150     10.8       1026        72         4 0.000E+00     1.77
   3013200      2.5        140     11.4    1026.4         70         7 0.000E+00     1.78
   3024000      2.6        360      9.6    1026.3         76         5 0.000E+00     1.79
   3034800      2.3        120      7.1    1025.5         84         0 0.000E+00     1.81
   3045600      2.6        160      5.8    1025.5         88         3 0.000E+00     1.82
   3056400         0         0     10.6    1026.1         78         5 0.000E+00     1.84
   3067200      4.8        320     14.7    1025.1         43         1 0.000E+00     1.85
   3078000      4.4        330     14.2    1023.4         45         1 0.000E+00     1.81
   3088800      4.2        320     11.8    1023.5         48         5 0.000E+00     1.77
   3099600      5.4        320      9.9    1023.4         46         3 0.000E+00     1.72
   3110400      3.9        140      5.4    1023.1         65         2 0.000E+00     1.68
   3121200      1.4        150      3.7    1022.1         80         0 0.000E+00     1.63
   3132000      1.6        160      3.3    1022.1         82         1 0.000E+00     1.59
   3142800      0.6        290      9.4    1022.6         66         4 0.000E+00     1.55
   3153600      1.6        260     13.9    1021.5         57         4 0.000E+00      1.5
   3164400      0.8        270        17   1020.7         41         4 0.000E+00      1.5
   3175200      2.1        140     11.1    1021.4         68         4 0.000E+00      1.5
   3186000      2.1        130      8.9    1022.4         83         2 0.000E+00      1.5
   3196800      1.3        170     10.3    1022.1         79         2 0.000E+00      1.5
   3207600      1.3        120     10.2    1021.7         83         0 0.000E+00      1.5
   3218400         4        90     10.4    1022.2         82         3 0.000E+00      1.5
   3229200      4.1         90     14.3    1023.1         68         5 0.000E+00      1.5
   3240000      5.5        150     19.5    1022.4         59         6 0.000E+00      1.5
   3250800      5.4        150     18.7    1021.6         61         5 0.000E+00     1.52
   3261600      2.6        140     14.8    1021.9         75         4 0.000E+00     1.53
   3272400      3.5        100     14.2    1022.6         73         4 0.000E+00     1.55
   3283200      3.2         40     13.4    1023.2         80         4 0.000E+00     1.56
   3294000         1       130     14.1    1023.2         80         8 0.000E+00     1.58
   3304800      3.3        110     14.2    1023.1         80         3 0.000E+00     1.59
   3315600      4.2         90     17.6    1024.4         66         1 0.000E+00     1.61
   3326400      4.6        150        21   1024.1         61         1 0.000E+00     1.62
   3337200         4       210     20.5    1023.6         66         2 0.000E+00     1.68
   3348000      1.9        150     17.9    1024.3         83         7 0.000E+00     1.74
   3358800      1.7         10     16.5    1025.1         87         7 0.000E+00      1.8
   3369600      1.3        180     15.2    1024.8         90         8 0.000E+00     1.85
   3380400      0.7         20     12.4    1024.4         93         0 0.000E+00     1.91
   3391200         1       180     11.6    1024.3         95         4 0.000E+00     1.97
   3402000      0.8        360     14.2    1024.9         96         2 0.000E+00     2.03
   3412800         5       280        19   1022.7         63         3 0.000E+00     2.08
   3423600      6.8        310     20.4    1020.8         55         3 0.000E+00     2.03
   3434400         9       330     17.5    1021.1         66         2 0.000E+00     1.97
   3445200         9       340     15.3    1021.5         73         0 0.000E+00     1.91
   3456000      4.5        350     13.5    1021.6         79         0 0.000E+00     1.85
   3466800      1.2         30      9.7    1021.7         88         0 0.000E+00     1.79
   3477600      2.8        150         8   1022.2         92         1 0.000E+00     1.74
   3488400      1.2        360     12.6    1023.3         82         6 0.000E+00     1.68
   3499200      3.8        350     17.8    1022.7         59         6 0.000E+00     1.62
   3510000         4       310     18.4    1022.3         59         6 0.000E+00     1.58
   3520800      1.2        260     13.5    1023.8         77         4 0.000E+00     1.53
   3531600         0         0     10.3    1025.4         85         4 0.000E+00     1.49
   3542400         0         0     10.1       1026        91         1 0.000E+00     1.45
   3553200      2.2        130     10.6    1025.9         82         0 0.000E+00      1.4
   3564000      2.6        130     13.1    1025.3         81         2 0.000E+00     1.36
   3574800      1.4        140        17   1025.7         67         6 0.000E+00     1.32
   3585600      0.6        300     18.4    1023.8         69         7 0.000E+00     1.27
   3596400      4.6        260     17.1    1021.8         71         7 0.000E+00     1.63
   3607200      2.8        300     14.4    1021.3         77         7 0.000E+00         2
   3618000      1.5        310     12.9    1020.4         84         0 0.000E+00     2.36
   3628800      4.5        300     13.8    1019.2         84         5 0.000E+00     2.72
   3639600      7.2        290     13.1    1016.9         82         0 0.000E+00     3.08
   3650400      9.1        310     14.6    1016.5         75         4 0.000E+00     3.44
   3661200     11.3        330     16.2    1015.6         63         3 0.000E+00      3.8
   3672000        16       340     17.6    1014.7         53         3 0.000E+00     4.17
   3682800     16.2        330     16.2    1012.9         47         3 0.000E+00      4.2
   3693600     18.7        330     14.3    1012.2         58         2 0.000E+00     4.22
   3704400     16.7        330     13.2    1011.7         62         5 0.000E+00     4.25
   3715200        16       330     12.9    1011.3         60         5 0.000E+00     4.28
   3726000      7.7        350     12.7    1011.3         55         0 0.000E+00     4.31
   3736800        10        10     12.2    1012.7         56         1 0.000E+00     4.34
   3747600      9.2        340        14   1013.7         54         1 0.000E+00     4.37
   3758400     11.3        340     17.4    1013.1         45         1 0.000E+00      4.4
   3769200      9.9        340     16.4    1012.3         50         1 0.000E+00     4.04
   3780000      4.9        340     13.5    1013.2         58         0 0.000E+00     3.67
